ID,Title,Author,Year,Type,Access_date,URL,Technology,Interactive_level,textuality,versioning,language,metadata_source,preservation_status,License,one_sentence_description
 ELIT001,Twelve Blue,Michanel,1996,hypertext,2026-01-27,https://collection.eliterature.org/1/works/joyce__twelve_blue.html,HTML,medium,no linear,stable,English,Electronic Literature Collection (ELO),live,CC BY-NC-ND 2.5,"Twelve Blue is an HTML hypertext that makes use of frames and image-maps. The work tells a complex and enigmatic story of memory, desire, lust, truth, and consequences."
 ELIT002,Deviant: The Possession of Christian Shaw,Donna Leishman,2004,multimedia,2026-01-27,https://collection.eliterature.org/1/works/leishman__deviant_the_possession_of_christian_shaw.html,multimedia,medium,modular,stable,English,Electronic Literature Collection (ELO),live,CC BY-NC-ND 2.5,This project explores new ways of experiencing a story — harnessing the allure of mystery and uneasy tensions and plucking the participant's sense of social responsibility.
 ELIT003,Façade,Michanel Mateas & Andrew Stern,2005,interactive fiction,2026-01-27,https://collection.eliterature.org/2/works/mateas_facade.html,multimedia,high,database-like,stable,French,Electronic Literature Collection (ELO),live,CC BY-NC-ND 2.5,"It is the creation of an interactive, animated fiction that can accept any type of language produced by the user and assimilate it into the outcome of the narrative."
 ELIT004,Still Standing,Druno Nadeau & Jason Lewis,2005,multimedia,2026-01-27,https://collection.eliterature.org/2/works/nadeau_stillstanding.html,multimedia,high,database-like,stable,English,Electronic Literature Collection (ELO),live,CC BY-NC-ND 2.5,"<Still Standing >invites participants to use their bodies as reading instruments.  The viewer must remain perfectly still, her stillness causing the video-projected text to assemble as if attracted to a magnet. "
 ELIT005,sooth,David Jhave Johnston,2005,multimedia,2026-01-27,https://collection.eliterature.org/2/works/johnston_sooth.html,multimedia,high,modular,stable,English&French,Electronic Literature Collection (ELO),live,CC BY-NC-ND 2.5,"<Sooth> is one of a growing number of works that seek to integrate algorithmically animated, interactive text with rich video imagery. It leads the viewer/user into a compelling meditation on the body, the soul, the subconscious and the desires and fears that plague it."
 ELIT006,separation ,Annie Abrahams,2003,multimedia,2026-01-27,https://collection.eliterature.org/2/works/abrahams_separation.html,multimedia,high,linear,stable,English&French,Electronic Literature Collection (ELO),archived,CC BY-NC-ND 2.5,<Separation> is an interactive piece that reflects some of the physical and psychic disorders that result from intensive use of a computer.
 ELIT007,synonymovie,Eugenio Tisselli,2004,multimedia,2026-01-27,https://collection.eliterature.org/2/works/tisselli_synonymovie.html,multimedia,high,database-like,stable,English,Electronic Literature Collection (ELO),live,CC BY-NC-ND 2.5,"<synonymovie> emerges from the translation from a word to an image that ""means"" or evokes the same.The ""movie"" will end when a word without synonyms (or related images) is found."
 ELIT008,V: Vniverse,Stephanie Strickland & Cynthia Lanwson Jaramillo,2002,multimedia,2026-01-27,https://collection.eliterature.org/2/works/strickland_vniverse.html,multimedia,medium,modular,stable,English,Electronic Literature Collection (ELO),live,CC BY-NC-ND 2.5,V is a 3-part poem that explores a weave of ways to cast and map text. The play-read process in the poem is an iterative one. Iterated returns overwhelm individual differences in sampling.
 ELIT009,hobo lobo of hamelin,Stevan Živadinović,2011,hypertext,2026-01-27,https://collection.eliterature.org/3/work.html?work=hobo-lobo-of-hamelin,HTML,high,no linear,stable,English&French&Spanish,Electronic Literature Collection (ELO),live,no stated,"Hobo Lobo of Hamelin is a digital pop-up book about a city, its scruples, some rats, a wolf, his woodwind and the stuff that goes down. "
 ELIT010,dead tower,Andy campbell & Mez Brreeze,2012,multimedia,2026-01-27,https://collection.eliterature.org/3/work.html?work=dead-tower,web-based,high,no linear,unclear,English,Electronic Literature Collection (ELO),inaccessible,no stated,"Set in a dark and abstract dream world that revolves around a crashed bus, the atmospheric literary game environment The Dead Tower can be freely explored at full-screen with the mouse and keyboard. "
 ELIT011,Distance,"La Porta, Tina",1999,multimedia,2026-01-27,https://the-next.eliterature.org/works/573/17/0/,HTML,low,linear,stable,English,The NEXT.eliterature,live,CC BY-SA 4.0,"Distance explores our desire for communication, through connection and disconnection, via fluctuations in transmission and reception between geographically separated participants mediated by the surface of the screen."
 ELIT012,Brainstrips,"Bigelow,Alan",2008,multimedia,2026-01-27,https://the-next.eliterature.org/works/677/0/0/,multimedia,low,linear,stable,English,The NEXT.eliterature,live,CC BY-NC-ND 2.5,"The three works that make up Brainstrips are intricately designed visual and audio experiences, often using assets culled from the internet."
 ELIT013,Alice in the Wonderbalcony,"Pinto,Regina Celia",unknown,hypertext,2026-01-27,https://the-next.eliterature.org/works/1743/12/0/,HTML,low,linear,multiple versions,English,The NEXT.eliterature,inaccessible,Under Consideration,"""Alice in the 'Wonderbalcony'"" is a surreal work of commentary on net art and performance that is alive with stunning deployments of color and movement."
 ELIT014,))breathe((,"Knoebel,David",2001,hypertext,2026-01-27,https://the-next.eliterature.org/works/569/12/0/,HTML,medium,database-like,stable,English,The NEXT.eliterature,live,CC BY-SA 4.0,"))breathe(( is a hypermedia poem with a minimalist interface that captures a moment in time. Users navigate a series of rectangular shapes and lines that come and go, and this navigation prompts poetic phrases that flash on the screen."
 ELIT015,sea and spar between,Nick Montfort and Stephanie Strickland,2010,generative,2026-01-27,https://collection.eliterature.org/3/work.html?work=sea-and-spar-between,HTML+Javascript,high,database-like,stable,English,The NEXT.eliterature,live,no stated,"Sea and Spar Between is a poetry generator which defines a space of language populated by a number of stanzas comparable to the number of fish in the sea, around 225 trillion."
